,language,position,gender_tuned,income_level,price
274,Italian,121,male,33228.23668,24
275,Italian,105,female,33228.23668,21
276,Italian,73,male,33228.23668,9
277,Italian,83,female,33228.23668,15
278,Italian,23,female,33228.23668,33
279,Italian,24,female,29820.60325,30
280,Italian,77,female,33228.23668,21
281,Italian,139,male,33228.23668,12
282,Italian,107,female,33228.23668,21
283,Italian,122,female,33228.23668,33
284,Italian,124,female,33228.23668,24
285,Italian,89,female,33228.23668,24
286,Italian,11,female,33228.23668,15
287,Italian,80,male,33228.23668,12
288,Italian,127,female,33228.23668,27
289,Italian,34,male,33228.23668,24
290,Italian,129,female,33228.23668,0
291,Italian,90,female,33228.23668,21
292,Italian,128,male,33228.23668,24
293,Italian,120,male,33228.23668,21
294,Italian,116,female,33228.23668,18
295,Italian,103,female,33228.23668,24
296,Italian,76,female,33228.23668,12
297,Italian,118,female,33228.23668,18
298,Italian,40,female,33228.23668,51
299,Italian,113,female,33228.23668,21
300,Italian,6,female,33228.23668,0
301,Italian,58,female,33228.23668,18
302,Italian,110,female,33228.23668,45
303,Italian,112,female,33228.23668,12
304,Italian,142,male,33228.23668,21
305,Italian,81,male,33228.23668,21
306,Italian,13,male,33228.23668,18
307,Italian,145,female,33228.23668,24
308,Italian,95,male,33228.23668,36
309,Italian,29,female,33228.23668,18
310,Italian,12,male,33228.23668,18
311,Italian,109,female,33228.23668,30
312,Italian,53,female,33228.23668,24
313,Italian,144,female,33228.23668,15
314,Italian,35,female,33228.23668,39
315,Italian,56,female,33228.23668,51
316,Italian,136,male,33228.23668,18
317,Italian,138,female,33228.23668,33
318,Italian,132,female,33228.23668,12
319,Italian,96,female,33228.23668,15
320,Italian,36,female,33228.23668,27
321,Italian,66,male,33228.23668,18
322,Italian,67,female,33228.23668,30
323,Italian,49,female,33228.23668,12
324,Italian,100,female,33228.23668,18
325,Italian,125,female,33228.23668,12
326,Italian,3,female,33228.23668,24
327,Italian,8,female,33228.23668,27
328,Italian,133,female,33228.23668,12
329,Italian,38,female,33228.23668,18
330,Italian,57,female,33228.23668,12
331,Italian,101,female,33228.23668,21
332,Italian,88,male,33228.23668,21
333,Italian,134,female,33228.23668,21
334,Italian,7,female,33228.23668,15
335,Italian,15,female,33228.23668,18
336,Italian,98,female,33228.23668,18
337,Italian,9,male,33228.23668,18
338,Italian,32,female,33228.23668,24
339,Italian,135,female,33228.23668,12
340,Italian,108,female,33228.23668,18
341,Italian,104,female,33228.23668,18
342,Italian,141,male,33228.23668,27
343,Italian,106,male,33228.23668,15
344,Italian,140,female,33228.23668,15
345,Italian,26,female,33228.23668,12
346,Italian,62,male,33228.23668,21
347,Italian,31,female,33228.23668,0
348,Italian,27,female,33228.23668,12
349,Italian,111,male,33228.23668,9
350,Italian,47,female,33228.23668,18
351,Italian,43,female,33228.23668,39
352,Italian,19,female,33228.23668,18
353,Italian,33,female,33228.23668,30
354,Italian,10,male,33228.23668,21
355,Italian,45,male,33228.23668,24
356,Italian,72,female,33228.23668,18
357,Italian,22,male,33228.23668,15
358,Italian,131,female,33228.23668,18
359,Italian,91,female,33228.23668,15
360,Italian,143,female,33228.23668,18
361,Italian,51,male,33228.23668,9
362,Italian,20,female,33228.23668,21
363,Italian,71,female,33228.23668,12
364,Italian,82,female,33228.23668,33
365,Italian,65,male,33228.23668,24
366,Italian,78,female,33228.23668,18
367,Italian,119,female,33228.23668,9
368,Italian,85,female,33228.23668,15
369,Italian,84,female,9912.281809,18
370,Italian,137,female,33228.23668,0
371,Italian,63,female,33228.23668,24
372,Italian,14,male,33228.23668,18
373,Italian,46,female,33228.23668,12
374,Italian,114,female,33228.23668,24
375,Italian,74,female,33228.23668,24
